City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
167,Madang,PG,2022-08-14 00:44:08,-5.2246,145.7966,84.07,63,41,2.89
168,Mutata,CO,2022-08-14 00:44:08,7.2441,-76.4356,73.8,98,100,2.37
169,Constitucion,CL,2022-08-14 00:41:13,-35.3333,-72.4167,51.46,93,100,8.39
170,Iquitos,PE,2022-08-14 00:44:09,-3.7481,-73.2472,78.84,89,20,2.3
171,Kaitangata,NZ,2022-08-14 00:44:09,-46.2817,169.8464,50.65,60,0,11.45
172,Kilindoni,TZ,2022-08-14 00:44:10,-7.9139,39.6668,75.43,75,42,13.65
173,Amapa,BR,2022-08-14 00:44:10,1.0,-52.0,74.14,80,21,5.59
174,Aklavik,CA,2022-08-14 00:39:38,68.2191,-135.0107,61.95,53,23,19.3
175,Mar Del Plata,AR,2022-08-14 00:44:11,-38.0023,-57.5575,59.09,57,0,25.99
176,Westport,US,2022-08-14 00:41:13,41.1415,-73.3579,73.44,61,0,3.44
177,Ussel,FR,2022-08-14 00:44:12,45.55,2.3167,62.08,96,100,1.16
178,Kargasok,RU,2022-08-14 00:44:12,59.0556,80.8572,55.69,98,100,9.31
179,Ingham,US,2022-08-14 00:44:13,42.6,-84.3833,60.75,94,100,4.61
180,Launceston,AU,2022-08-14 00:45:13,-41.45,147.1667,56.84,87,75,18.41
181,Araouane,ML,2022-08-14 00:45:13,18.9048,-3.5265,92.8,32,6,15.21
182,Mahebourg,MU,2022-08-14 00:45:14,-20.4081,57.7,69.26,77,75,13.8
183,Antsirabe,MG,2022-08-14 00:45:14,-19.85,47.0333,45.36,96,16,4.23
184,Saint-Augustin,CA,2022-08-14 00:45:15,51.226,-58.6502,60.71,90,100,9.95
185,Sao Geraldo Do Araguaia,BR,2022-08-14 00:45:15,-6.4006,-48.555,80.71,54,95,2.28
186,Port Elizabeth,ZA,2022-08-14 00:45:17,-33.918,25.5701,49.32,82,0,8.05
187,Portland,US,2022-08-14 00:44:01,45.5234,-122.6762,81.55,48,20,10.36
188,Gigmoto,PH,2022-08-14 00:45:18,13.7796,124.39,84.88,73,99,5.08
189,Necochea,AR,2022-08-14 00:43:08,-38.5473,-58.7368,55.26,74,5,13.11
190,Monrovia,LR,2022-08-14 00:45:18,6.3005,-10.7969,76.68,82,100,10.42
