City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
217,Byron Bay,AU,-28.65,153.6167,42.76,66,3,8.75,clear sky
218,Les Herbiers,FR,46.8667,-1.0167,69.51,47,16,16.04,few clouds
219,Arraial Do Cabo,BR,-22.9661,-42.0278,71.46,70,29,23.62,scattered clouds
220,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,55.99,100,100,6.71,light intensity shower rain
221,Henties Bay,NA,-22.116,14.2845,55.62,82,0,12.53,clear sky
222,Reconquista,AR,-29.15,-59.65,82.09,46,0,12.88,clear sky
223,Batsfjord,NO,70.6345,29.7185,51.73,66,75,25.32,broken clouds
224,Praia Da Vitoria,PT,38.7333,-27.0667,80.76,85,11,13.02,light rain
225,Batemans Bay,AU,-35.7167,150.1833,55.09,56,91,10.25,overcast clouds
226,Tsogni,GA,-2.7942,10.0988,73.0,75,99,7.67,overcast clouds
227,Bethanien,NA,-26.502,17.1583,56.8,28,36,8.79,scattered clouds
228,Westport,US,41.1415,-73.3579,83.71,48,96,4.0,overcast clouds
229,Salto,UY,-31.3833,-57.9667,72.55,71,24,13.24,few clouds
230,Isangel,VU,-19.55,169.2667,74.59,78,97,16.53,overcast clouds
231,Gamba,GA,-2.65,10.0,73.09,76,99,7.9,overcast clouds
232,Butaritari,KI,3.0707,172.7902,81.48,77,100,15.77,overcast clouds
233,Lac Du Bonnet,CA,50.2536,-96.0612,77.68,46,98,4.56,overcast clouds
234,Smolenka,RU,52.1352,113.4974,50.07,100,56,2.24,broken clouds
235,Antsohihy,MG,-14.8796,47.9875,70.7,80,6,2.57,clear sky
236,Bubaque,GW,11.2833,-15.8333,79.11,83,97,15.57,moderate rain
237,Viseu,PT,40.661,-7.9097,81.86,40,53,12.91,broken clouds
238,Torbay,CA,47.6666,-52.7314,71.28,92,97,1.99,overcast clouds
239,Maniitsoq,GL,65.4167,-52.9,43.05,90,100,20.78,overcast clouds
240,San Policarpo,PH,12.1791,125.5072,77.95,86,100,6.51,overcast clouds
241,Pochutla,MX,15.7432,-96.4661,87.37,55,100,5.08,overcast clouds
242,Lata,PT,40.1629,-8.3327,74.97,48,7,11.79,clear sky
243,Seoul,KR,37.5683,126.9778,80.2,89,100,8.05,overcast clouds
244,El Ocote,HN,15.4167,-86.5667,79.57,57,74,0.96,broken clouds
245,Sabha,LY,27.0377,14.4283,95.94,12,2,13.6,clear sky
246,Conde,BR,-7.2597,-34.9075,78.08,64,34,17.76,scattered clouds
247,Vigrestad,NO,58.5667,5.7,78.48,76,62,14.9,broken clouds
248,Ayan,RU,56.45,138.1667,54.34,88,82,4.88,broken clouds
249,Castro,BR,-24.7911,-50.0119,73.47,39,22,7.38,few clouds
250,Egyek,HU,47.6333,20.9,82.98,35,90,5.1,overcast clouds
251,Kukuna,SL,9.4,-12.6667,77.54,92,100,4.7,moderate rain
252,Touros,BR,-5.1989,-35.4608,82.45,59,40,19.17,scattered clouds
253,Balaipungut,ID,1.05,101.2833,75.81,95,54,2.86,broken clouds
254,Klyuchi,RU,52.2667,79.1667,65.37,47,52,9.22,broken clouds
255,Saint George,US,37.1041,-113.5841,88.63,42,0,1.99,clear sky
256,Mareeba,AU,-17.0,145.4333,61.52,87,24,1.21,few clouds
257,Peniche,PT,39.3558,-9.3811,76.28,74,0,13.58,clear sky
258,Nelson Bay,AU,-32.7167,152.15,55.0,81,2,8.99,clear sky
259,East London,ZA,-33.0153,27.9116,57.4,53,41,30.06,scattered clouds
260,Itarema,BR,-2.9248,-39.9167,86.45,48,13,18.25,few clouds
